X,Y,Z,T,M
119.72599,38.58579,48.3737,3827.02,-0.9879805
118.23712,38.12276,22.55852,3827.02,0.9836259
40.9393,13.23482,24.93066,3827.02,1.0270604
44.69701,14.45601,100.82836,3827.02,0.33879846
128.47182,41.5731,-5.30779,3827.02,0.2761586
14.22449,4.6407,82.12051,3827.02,0.9922841
143.03761,46.86776,152.30394,3827.02,-0.5234156
55.07333,18.0955,-45.0576,3827.02,1.6208855
85.79757,28.28805,52.29349,3827.02,1.1468276
90.0089,29.75175,176.10573,3827.02,-0.10514998
42.57204,14.18866,5.96796,3827.02,1.9309785
99.84693,33.28672,48.15082,3827.02,-0.6474313
56.34385,18.78486,7.90187,3827.02,2.5522816
259.52325,86.93738,148.7895,3827.02,-1.1374749
139.69414,46.82741,42.61918,3827.02,0.04123798
22.89004,7.70329,-3.36139,3827.02,3.204449
132.99704,44.95665,17.22576,3827.02,0.28709707
41.55532,14.06967,-0.7461,3827.02,2.4887216
9.98284,3.39727,-10.74278,3827.02,4.0818214
6.96512,2.39006,-19.06015,3827.02,2.69832
1345.9558,464.7532,4316.661,3827.02,-7.4178867
4.7024,1.62398,99.77614,3827.02,1.2021704
76.40632,26.42634,52.73344,3827.02,1.1167988
11.95975,4.14829,71.1368,3827.02,1.9756805
74.07813,25.72636,-3.4241,3827.02,0.94584715
39.00532,13.63298,-94.56635,3827.02,1.1616188
120.9088,42.2731,127.64871,3827.02,-0.17637435
68.11217,23.92009,44.66332,3827.02,1.7157265
63.45631,22.40867,4.25107,3827.02,0.98570573
299.36423,106.25897,345.69482,3827.02,-2.068102
134.60783,47.82023,226.86932,3827.02,-0.75145584
104.6257,37.45297,84.9211,3827.02,0.7115302
79.69521,28.79668,43.66944,3827.02,-0.15612257
113.65736,41.25834,-1.07418,3827.02,0.45752755
353.3366,128.74713,607.2738,3827.02,-4.31936
23.50627,8.59325,113.55365,3827.02,0.98249227
107.97086,39.54589,-22.84863,3827.02,0.8147451
151.91612,55.72589,-9.17998,3827.02,0.21142583
29.37135,10.84824,66.11341,3827.02,2.0088425
86.66664,32.02568,50.66502,3827.02,0.11633106
17.08716,6.38712,74.48588,3827.02,1.946388
39.31788,14.76685,42.7819,3827.02,0.9809802
52.58454,19.79367,-19.43551,3827.02,2.47913
240.43802,90.63252,7.74486,3827.02,-0.840252
28.44708,10.82799,48.98327,3827.02,2.5552454
222.2052,84.64742,88.75644,3827.02,-1.0525188
218.3484,83.28761,-140.11514,3827.02,-1.3366697
45.47797,17.37132,33.14142,3827.02,2.4296885
47.88862,18.30507,39.64575,3827.02,1.5418296
1825.8235,698.8602,9807.036,3827.02,-8.93
32.44516,12.45846,-4.99757,3827.02,0.8726999
62.33416,23.94049,-9.39301,3827.02,2.0657058
41.48047,15.9938,-5.39144,3827.02,2.6644437
91.9999,35.62219,-27.6573,3827.02,1.1172491
52.83606,20.46182,-50.11508,3827.02,1.0261573
124.95654,48.40392,-131.81659,3827.02,-0.11044184
76.51225,29.68146,-4.08345,3827.02,1.5964528
124.79735,48.58616,-279.1337,3827.02,-1.5339874
65.62394,25.71584,30.66366,3827.02,1.7513865
79.66094,31.22686,-22.28543,3827.02,0.16731302
47.84565,18.79187,149.11742,3827.02,0.35044628
14.08244,5.53374,26.45755,3827.02,0.24003115
93.9713,36.95573,-6.93229,3827.02,1.4737847
20.52242,8.07693,54.94559,3827.02,0.8581483
29.29825,11.5621,21.71212,3827.02,3.426528
22.90552,9.05213,8.5635,3827.02,3.2688267
27.8815,11.0264,28.41062,3827.02,2.8999739
81.54257,32.28198,32.0432,3827.02,1.5889473
197.80109,78.3702,-1.4816,3827.02,-0.2195107
82.53955,32.80231,31.00048,3827.02,0.63266635
32.85005,13.08246,-8.20008,3827.02,2.710608
32.68402,13.05672,24.07863,3827.02,3.1207142
101.8419,40.83105,-45.08542,3827.02,1.0591378
39.0487,15.66669,36.70517,3827.02,2.685478
18.436,7.41603,20.15599,3827.02,2.5707183
99.54248,40.1036,-20.6692,3827.02,0.9371055
48.36058,19.62876,-49.21402,3827.02,-0.86868614
103.22042,41.9034,15.57991,3827.02,0.96450883
